DATE,Num-CDE,CLIENT_ID,SEX,BIRTH,ID_PROD,PRICE_mensuel, Durée total,CATEG
2021-02-02,773291,169433,M,1959,167802,"325,9",25,0
2021-02-02,766375,145271,M,1971,307792,"515,54",43,0
2021-02-02,737922,133666,M,1965,14510,"283,51",37,0
2021-02-02,780253,160261,M,1965,167079,"127,63",43,0
2021-02-02,765415,207795,F,1974,276590,"394,8",43,0
2021-02-02,780325,162349,M,1962,196519,"308,45",43,0
2021-02-02,782361,176284,F,1980,15065,"299,75",31,0
2021-02-02,778214,201145,M,1977,15089,"786,32",19,0
2021-01-31,764013,176284,F,1965,167086,"224,55",31,0
2021-01-31,790599,224497,M,1993,312281,"562,83",43,0
2021-01-31,777405,140344,M,1968,305124,"530,18",35,0
2021-01-31,776662,162349,M,1971,15422,"459,25",43,0
2021-01-31,773038,73757,M,1969,85350,"281,06",31,0
2021-01-31,767985,176675,M,1974,192989,"270,91",31,0
2021-01-31,778145,151590,M,1988,127697,"471,48",31,0
2021-01-31,771701,133666,F,1993,14514,"225,81",37,0
2021-01-31,766847,176675,M,1960,192989,"259,36",31,0
2021-01-31,776733,201145,F,1967,278092,"590,7",28,0
2021-02-05,774058,161606,M,1965,261041,"389,86",43,0
2021-02-12,820804,42267,M,1962,167085,"166,41",55,0
2021-02-05,793349,163072,M,1973,196565,"427,54",28,0
2021-02-05,792398,207795,M,1975,278091,"336,87",43,0
2021-02-12,821385,176284,M,1972,167910,"334,55",31,0
2021-02-12,799020,172586,M,1972,127708,"299,27",43,0
2021-02-12,823207,176284,F,1965,167911,"368,59",31,0
2021-02-12,805055,142707,M,1971,14565,"473,6",31,0
2021-02-12,816632,176284,M,1962,167910,"334,55",31,0
2021-02-12,815922,160689,F,1980,294133,"425,96",43,0
2021-02-12,798018,146362,M,1971,261260,"684,61",43,0
2021-02-11,804864,162349,M,1972,196557,"344,68",43,0
2021-02-11,812689,146362,M,1970,36078,"738,76",43,0
2021-02-11,812693,175333,M,1975,15849,"347,76",31,0
2021-02-11,815064,176284,F,1973,167910,"334,55",31,0
2021-02-11,823902,142707,F,1967,294787,"665,66",31,0
2021-02-08,812071,172586,M,1968,128359,"236,98",43,0
2021-02-08,801099,151590,M,1975,127697,"400,24",27,0
2021-02-08,820880,149430,M,1960,35530,"364,14",43,0
2021-02-08,790790,207795,M,1973,278172,"259,16",43,0
2021-02-08,806384,146576,M,1966,236980,"454,72",31,0
2021-02-06,794824,146362,M,1960,260899,"505,07",43,0
2021-02-06,777634,152955,M,1965,235760,"120,06",31,0
2021-02-06,774682,176284,M,1973,195115,"259,11",31,0
2021-02-06,790633,207795,M,1972,277792,"278,34",43,0
2021-02-05,790020,162406,M,1960,15155,"377,76",43,0
2021-02-05,790060,203910,F,1987,167713,"359,14",40,0
2021-02-05,786176,177084,M,1965,194671,"303,61",31,0
2021-01-08,800310,162349,F,1976,196561,"400,61",43,0
2021-01-08,782269,176284,F,1978,167802,"253,56",31,0
2021-01-08,805312,146576,M,1972,236980,"461,63",31,0
